City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,karacasu,37.7282,28.6057,13.64,61,100,3.04,TR,1712498668
187,hamilton,39.1834,-84.5333,11.44,63,40,6.17,US,1712498634
188,palasa,18.7667,84.4167,29.06,61,54,3.54,IN,1712498669
189,tabou,4.423,-7.3528,30.73,67,77,3.61,CI,1712498670
190,nouadhibou,20.931,-17.0347,22.99,68,0,8.23,MR,1712498636
191,san-pedro,4.7485,-6.6363,31.44,64,93,4.7,CI,1712498459
192,vilyuysk,63.7553,121.6247,-12.22,95,19,2.24,RU,1712498672
193,pleiku,13.9833,108.0,26.23,54,99,1.5,VN,1712498672
194,kalmunai,7.4167,81.8167,28.49,76,33,4.02,LK,1712498673
195,argo,37.6333,22.7333,24.88,45,18,7.27,GR,1712498673
196,nchelenge,-9.3451,28.734,25.55,73,98,0.59,ZM,1712498674
197,fecamp,49.7579,0.3746,18.49,71,76,7.15,FR,1712498675
198,christchurch,-43.5333,172.6333,13.84,82,100,3.09,NZ,1712498359
199,chibougamau,49.9168,-74.3659,2.79,52,0,2.06,CA,1712498676
200,lihue,21.9789,-159.3672,21.58,88,100,9.26,US,1712498677
201,beloyarskiy,63.7119,66.6722,-3.33,75,100,5.81,RU,1712498678
202,smirnovo,54.5125,69.4222,0.01,65,100,4.78,KZ,1712498678
203,nova sintra,14.8667,-24.7167,23.22,76,1,9.47,CV,1712498679
204,sinabang,2.4803,96.3801,27.4,83,99,1.83,ID,1712498680
205,taman',45.2117,36.7161,10.8,64,8,8.04,RU,1712498680
206,lebu,-37.6167,-73.65,14.46,73,100,3.48,CL,1712498681
207,thompson,55.7435,-97.8558,1.09,55,40,1.03,CA,1712498616
208,acarau,-2.8856,-40.12,28.63,75,100,0.6,BR,1712498682
209,vilhena,-12.7406,-60.1458,25.12,88,40,5.14,BR,1712498551
210,afaahiti,-17.75,-149.2833,25.93,84,100,5.4,PF,1712498683
211,rikaze,29.25,88.8833,6.57,9,0,2.51,CN,1712498684
212,tofol,5.3248,163.0078,28.02,82,100,8.35,FM,1712498685
213,cataingan,12.003,123.992,26.33,75,39,6.25,PH,1712498686
214,uturoa,-16.7333,-151.4333,29.1,77,100,3.52,PF,1712498686
215,kerikeri,-35.2268,173.9474,13.51,82,47,2.12,NZ,1712498687
216,puerto san jose,13.9256,-90.8244,28.86,63,49,2.88,GT,1712498688
217,newman,37.3138,-121.0208,7.23,91,3,0.89,US,1712498688
218,viedma,-40.8135,-62.9967,22.4,32,14,2.85,AR,1712498685
219,fasa,28.9383,53.6482,25.58,13,75,2.06,IR,1712498690
220,keflavik,64.0049,-22.5624,2.95,60,75,14.92,IS,1712498475
221,klyuchi,52.2667,79.1667,3.35,76,100,5.08,RU,1712498691
222,kayangel,8.0823,134.7173,28.45,70,48,7.64,PW,1712498691
223,kone,-21.0595,164.8658,21.78,88,61,2.34,NC,1712498637
224,yuzhno-kurilsk,44.0306,145.8556,2.43,88,100,3.24,RU,1712498693
225,vilyuchinsk,52.9306,158.4028,1.07,74,97,3.09,RU,1712498693
226,praia,14.9215,-23.5087,28.3,47,0,8.75,CV,1712498694
227,qarqaraly,49.4058,75.4742,7.33,80,91,4.11,KZ,1712498695
228,ponta delgada,37.7333,-25.6667,18.44,88,75,10.8,PT,1712498481
229,ambovombe,-25.1667,46.0833,24.32,84,34,5.63,MG,1712498696
230,souillac,-20.5167,57.5167,29.21,79,40,3.09,MU,1712498468
231,homer,59.6425,-151.5483,1.13,73,0,1.54,US,1712498697
232,mazatlan,23.2167,-106.4167,18.84,86,100,0.89,MX,1712498503
233,kingston,17.997,-76.7936,29.53,71,20,3.6,JM,1712498641
234,pichucalco,17.5167,-93.0667,28.19,57,2,1.18,MX,1712498699
235,nadym,65.5333,72.5167,-4.46,80,100,13.37,RU,1712498699
236,belmonte,-15.8631,-38.8828,28.85,54,0,5.0,BR,1712498527
237,vila velha,-20.3297,-40.2925,29.42,74,40,3.6,BR,1712498100
238,olinda,-8.0089,-34.8553,31.85,70,40,5.14,BR,1712498499
239,woburn sands,52.0158,-0.6498,16.42,65,40,13.89,GB,1712498702
240,baki,-7.6128,110.7839,24.95,91,100,2.73,ID,1712498703
241,daru,-9.0763,143.2092,27.9,83,99,2.62,PG,1712498703
242,ilulissat,69.2167,-51.1,-6.08,83,100,0.64,GL,1712498704
243,mejit,10.2753,170.8646,26.87,79,100,9.3,MH,1712498705
244,rongelap,11.1635,166.8941,27.0,76,78,9.13,MH,1712498705
245,amalapuram,16.5833,82.0167,27.64,79,5,2.95,IN,1712498598
246,porto novo,6.4965,2.6036,33.9,53,95,4.91,BJ,1712498706
247,tursunzoda,38.5144,68.2333,17.62,34,6,2.02,TJ,1712498619
248,rodniki,57.1051,41.7305,4.3,80,100,3.68,RU,1712498708
249,gadzhiyevo,69.2551,33.3362,-3.47,83,99,2.79,RU,1712498561
250,sao jose da coroa grande,-8.8978,-35.1478,29.86,67,82,3.31,BR,1712498709
251,rio de janeiro,-22.9028,-43.2075,28.12,75,75,2.57,BR,1712498091
252,hami,42.8,93.45,14.57,30,50,1.45,CN,1712498475
253,taoudenni,22.6783,-3.9836,40.59,6,0,0.61,ML,1712498711
254,puerto padre,21.195,-76.6028,26.05,66,76,3.73,CU,1712498712
255,martapura,-3.4167,114.85,24.71,91,96,0.55,ID,1712498712
256,mil'kovo,55.6078,37.7956,14.73,78,81,2.28,RU,1712498713
257,vernon,50.2581,-119.2691,2.94,71,4,4.12,CA,1712498501
258,kas,36.2018,29.6377,21.1,44,100,0.55,TR,1712498715
259,motygino,58.1831,94.7592,-2.9,96,100,4.47,RU,1712498716
260,lubango,-14.9172,13.4925,24.92,57,100,3.6,AO,1712498716
261,juneau,58.3019,-134.4197,1.34,100,100,2.69,US,1712498623
262,kununurra,-15.7667,128.7333,23.99,83,24,0.0,AU,1712498629
263,guamal,9.1433,-74.2238,32.14,59,100,1.43,CO,1712498471
264,sungai penuh,-2.0833,101.3833,20.33,97,100,1.25,ID,1712498719
265,nova olimpia,-14.7972,-57.2881,30.06,65,8,2.89,BR,1712498719
266,mangalia,43.8,28.5833,13.35,80,19,3.89,RO,1712498436
267,zhaobaoshan,29.9695,121.6875,14.01,98,100,1.52,CN,1712498550
268,ain el bya,35.8039,-0.3018,33.27,20,100,3.96,DZ,1712498721
269,alofi,-19.0595,-169.9187,25.94,89,75,5.14,NU,1712498722
270,cooper's town,26.8667,-77.5167,20.75,56,54,3.71,BS,1712498722
271,campobello di mazara,37.6358,12.7443,27.48,40,0,5.8,IT,1712498723
272,page,36.9147,-111.4558,5.62,35,1,0.89,US,1712498483
273,kutno,52.2306,19.3641,26.98,49,99,4.92,PL,1712498724
274,revda,56.801,59.9303,1.59,88,100,3.37,RU,1712498726
275,dod ballapur,13.2919,77.5431,33.91,15,21,4.44,IN,1712498726
276,makoua,0.0069,15.6333,29.98,67,91,1.1,CG,1712498727
277,gadani,25.1185,66.7299,29.12,69,0,3.86,PK,1712498727
278,kattivakkam,13.2167,80.3167,32.05,71,100,6.71,IN,1712498541
279,santa cruz,-17.8,-63.1667,28.03,78,75,5.14,BO,1712498571
280,roma,43.2128,-75.4557,8.79,54,0,3.6,US,1712498551
281,severnoye,56.3491,78.3619,-2.79,81,12,7.15,RU,1712498731
282,katsuura,35.1333,140.3,16.47,94,100,1.59,JP,1712498731
283,qaqortoq,60.7167,-46.0333,-1.59,95,100,1.9,GL,1712498732
284,muisne,0.6,-80.0333,26.73,79,92,3.75,EC,1712498733
285,kurchatov,51.6601,35.6521,19.23,69,100,3.45,RU,1712498734
286,tabuk,17.4189,121.4443,26.08,77,100,1.94,PH,1712498735
287,adrar,20.5022,-10.0711,36.04,14,23,3.94,MR,1712498735
288,bel ombre,-4.6167,55.4167,28.91,84,40,2.06,SC,1712498736
289,metro,-5.1131,105.3067,24.9,91,96,1.91,ID,1712498737
290,tolanaro,-25.0319,46.9987,27.04,89,40,2.06,MG,1712498737
291,selfoss,63.9331,-20.9971,2.25,43,100,14.0,IS,1712498263
292,port lincoln,-34.7333,135.8667,14.74,68,53,2.39,AU,1712498738
293,turpan,42.9333,89.1667,19.23,18,12,1.38,CN,1712498573
294,yeppoon,-23.1333,150.7333,22.88,88,97,1.92,AU,1712498740
295,peace river,56.2501,-117.286,0.92,84,20,2.57,CA,1712498741
296,saudarkrokur,65.7461,-19.6394,-0.99,86,100,13.0,IS,1712498581
297,lorengau,-2.0226,147.2712,27.82,80,100,3.99,PG,1712498742
298,itaituba,-4.2761,-55.9836,29.09,79,75,2.06,BR,1712498482
299,darnah,32.767,22.6367,19.51,59,4,10.85,LY,1712498743
300,lata,40.1629,-8.3327,20.51,47,100,4.33,PT,1712498744
301,galle,6.0367,80.217,28.27,78,99,2.42,LK,1712498693
302,buckeye,33.3703,-112.5838,13.24,48,1,2.16,US,1712498686
303,mount isa,-20.7333,139.5,19.87,60,55,4.12,AU,1712498460
304,frederico westphalen,-27.3592,-53.3944,19.88,90,100,1.13,BR,1712498460
305,bowen,-20.0167,148.2333,25.26,87,5,2.86,AU,1712498747
306,ruy barbosa,-12.2839,-40.4939,28.41,64,86,3.35,BR,1712498748
307,banikoara,11.2985,2.4386,41.21,19,27,1.42,BJ,1712498453
308,lan sak,15.4529,99.5761,34.32,40,0,4.82,TH,1712498749
309,saijo,33.9167,133.1833,18.05,88,61,0.91,JP,1712498654
310,neiafu,-18.65,-173.9833,26.66,81,95,7.59,TO,1712498750
311,san pedro pochutla,15.7333,-96.4667,26.84,50,0,2.22,MX,1712498624
312,metlili chaamba,32.2667,3.6333,30.52,12,75,6.17,DZ,1712498752
313,dumbea,-22.15,166.45,21.98,88,89,2.28,NC,1712498752
314,dera bugti,29.0307,69.151,31.05,9,0,5.08,PK,1712498753
315,sao miguel do araguaia,-13.275,-50.1628,24.86,88,100,1.37,BR,1712498709
316,sorochinsk,52.4338,53.1583,8.72,84,95,3.82,RU,1712498754
317,unai,-16.3575,-46.9061,27.58,64,41,2.8,BR,1712498666
318,nioki,-2.7167,17.6833,30.85,58,100,0.73,CD,1712498755
319,margate,51.3813,1.3862,16.04,57,100,5.81,GB,1712498756
320,thunder bay,48.4001,-89.3168,3.99,56,0,6.17,CA,1712498460
321,antofagasta,-23.65,-70.4,19.6,73,45,3.71,CL,1712498748
322,inari,68.906,27.0288,-0.89,87,100,2.91,FI,1712498758
323,alice springs,-23.7,133.8833,13.75,72,100,0.0,AU,1712498758
324,santa maria,-29.6842,-53.8069,18.61,94,75,2.06,BR,1712498759
325,pemangkat,1.1667,108.9667,27.28,78,99,2.06,ID,1712498759
326,lamar,33.6668,-95.5836,17.95,43,100,4.63,US,1712498760
327,brookings,44.3114,-96.7984,6.77,88,100,8.75,US,1712498376
328,ryotsu-minato,38.0833,138.4333,12.0,70,48,0.58,JP,1712498761
329,kharp,66.8014,65.8081,-4.6,97,100,5.0,RU,1712498762
330,amga,60.8953,131.9608,-9.94,98,100,1.44,RU,1712498763
331,aden,12.7794,45.0367,28.43,71,80,6.29,YE,1712498721
332,oroqen zizhiqi,50.5667,123.7167,-9.74,51,9,3.79,CN,1712498764
333,kabo,7.6994,18.629,27.98,57,96,2.99,CF,1712498765
334,katabu,-4.9333,122.5167,24.91,94,100,1.04,ID,1712498766
335,mili,6.0815,171.735,27.86,82,36,10.77,MH,1712498766
336,jieshi,22.8134,115.8257,22.43,90,99,6.33,CN,1712498767
337,pacific grove,36.6177,-121.9166,7.03,86,0,2.06,US,1712498768
338,renigunta,13.65,79.5167,35.99,26,20,2.57,IN,1712498769
339,san bernardo del viento,9.3533,-75.9524,29.96,71,100,2.05,CO,1712498769
340,summerside,46.3959,-63.7876,4.27,100,100,8.75,CA,1712498770
341,gorom-gorom,14.4439,-0.2361,41.3,7,81,3.2,BF,1712498770
342,camalu,30.85,-116.0667,11.05,79,0,2.6,MX,1712498771
343,axum,14.1245,38.7244,26.06,22,100,1.03,ET,1712498692
344,sinop,41.7711,34.8709,9.94,64,41,4.62,TR,1712498643
345,alaghsas,17.0187,8.0168,40.94,6,99,6.69,NE,1712498773
346,huron,41.1501,-82.5499,8.87,58,0,2.95,US,1712498773
347,yanchep,-31.55,115.6833,25.68,38,4,8.38,AU,1712498774
348,teofilo otoni,-17.8575,-41.5053,25.68,55,0,2.9,BR,1712498775
349,williamsburg,37.2707,-76.7075,13.28,52,0,3.6,US,1712498775
350,the pas,53.8251,-101.2541,3.01,56,75,3.09,CA,1712498571
351,mahenge,-8.6833,36.7167,22.25,89,99,1.06,TZ,1712498777
352,den burg,53.0542,4.7972,18.3,74,0,10.8,NL,1712498778
353,lerwick,60.1545,-1.1494,10.0,81,69,11.5,GB,1712498779
354,timbuktu,16.7735,-3.0074,41.79,6,65,2.87,ML,1712498779
355,puerto lempira,15.2667,-83.7667,27.08,74,75,4.63,HN,1712498780
356,tomiya,38.3931,140.8861,12.82,98,100,0.37,JP,1712498781
357,teguise,29.0605,-13.564,22.12,41,20,8.23,ES,1712498781
358,ust-tsilma,65.441,52.1498,-1.33,91,100,4.47,RU,1712498782
359,shambu,9.5667,37.1,21.64,36,90,1.55,ET,1712498695
360,dehdasht,30.7949,50.5646,23.99,29,100,1.58,IR,1712498783
